CODICE	TIPO SITO	SITO	MAIL	FORM	DENOMINAZIONE
AllianceValdotaine	Web	https://alliancevaldotaine.org/	info@alliancevaldotaine.org		Alliance Valdôtaine
AncoraItalia	Web	https://www.ancoraitalia.it/	ancoraitalia@ancoraitalia.it		Ancora Italia
ArticoloUno	Web	https://articolo1mdp.it/	info@articolo1mdp.it		Articolo Uno
AutonomiaResponsabile	Web	https://www.autonomiaresponsabilefvg.it/	segreteria@autonomiaresponsabilefvg.it		Autonomia Responsabile
Azione	Web	https://www.azione.it/	info@azione.it		Azione
Cambiamo	Web	https://cambiamo.eu/	info@cambiamo.eu		Cambiamo!
CentroDemocratico	Web	https://www.ilcentrodemocratico.it/	info@ilcentrodemocratico.it		Centro Democratico
CoraggioItalia	Web	https://www.coraggioitalia.it/	info@coraggioitalia.it		Coraggio Italia
DestraLiberaleItaliana	Web	https://www.destraliberale.it/		https://www.destraliberale.it/contatti/	Destra Liberale Italiana
DestreUnite	Web	https://nuovaitaliaunita.it/	segreterianazionale@nuovaitaliaunita.it		Destre Unite
EuropaVerde	Web	https://europaverde.it/	info@europaverde.it		Europa Verde
+Europa	Web	https://www.piueuropa.eu/	info@piueuropa.eu		+Europa
Europeisti	Web	http://europeisti.org/	contatti@europeisti.org		Europeisti
Fassa	Web	http://www.forzafassa.it/	info@forzafassa.it		Fassa
ForzaDelPopolo	Web	https://www.forzadelpopolo.org/	privacy@forzadelpopolo.org		Forza del Popolo
ForzaItalia	Web	http://www.forzaitalia.it/	dpo@forzaitalia.it		Forza Italia
ForzaNuova	Web	http://www.forzanuova.eu/			Forza Nuova
FratelliDItalia	Web	https://www.fratelli-italia.it/	rpd@fratelli-italia.it		Fratelli d'Italia
FREE	Web	https://www.freetalia.it/		https://www.freetalia.it/#CONTATTI	FREE
GreenItalia	Web	https://greenitalia.org/	greenitalia.nazionale@gmail.com		Green Italia
IdentitàEAzione	Web	http://www.movimentoidea.it/	segreteria@movimentoidea.it		Identità e Azione
InsiemePer	Web	https://www.insieme-per.it/	info@insieme-per.it		Insieme
Italexit	Web	https://italexitperlitalia.it/	organizzativo@italexitperlitalia.it		Italexit
ItaliaDeiDiritti	Web	https://italiadeidiritti.italymedia.it/	italiadeidiritti@yahoo.it		Italia dei Diritti
ItaliaDeiValori	Web	https://www.italiadeivalori.it/	italiadeivalori@pec.it		Italia dei Valori
ItaliaDelMeridione	Web	http://www.italiadelmeridione.it/	info@italiadelmeridione.it		l’Italia del Meridione
ItaliaViva	Web	https://www.italiaviva.it/	info@italiaviva.it		Italia Viva
LaPugliaInPiù	Web	https://www.lapugliainpiu.it/			La Puglia in Più
Lega	Web	https://legaonline.it/	info@legaonline.it		Lega
Movimento5Stelle	Web	https://www.movimento5stelle.eu/	info@movimento5stelle.eu		Movimento 5 Stelle
MovimentoAnimalista	Web	https://movimentoanimalista.it/		https://movimentoanimalista.it/contatti/	Movimento Animalista
MovimentoAssociativoItalianiAllEstero	Web	https://maiemondiale.com/	supporto@maiemondiale.com	https://maiemondiale.com/contatto/	Movimento Associativo Italiani all'Estero
MovimentoDelleLiberta	Web	https://movimentodelleliberta.eu/	info@movimentodelleliberta.eu		Movimento delle Libertà
MovimentoStellaAlpina	Web	https://www.stella-alpina.org/	movimento@stella-alpina.org		Movimento Stella Alpina
NoiConLItalia	Web	https://www.noiconlitalia.it/	info@noiconlitalia.it		Noi con l'Italia
NoiDiCentro	Web	https://noidicentro.org/	info@noidicentro.org		Noi di Centro
NuovoPSI	Web	https://www.liberalsocialistinpsi.it/	info@liberalsocialistinpsi.it		Nuovo PSI
PartitoComunistaDeiLavoratori	Web	https://www.pclavoratori.it/	info@pclavoratori.it		Partito Comunista dei Lavoratori
PartitoComunistaItaliano	Web	https://www.ilpartitocomunistaitaliano.it/	info@ilpartitocomunistaitaliano.it		Partito Comunista Italiano
PartitoComunista	Web	https://ilpartitocomunista.it/	nazionale@ilpartitocomunista.it		Partito Comunista
PartitoDemocratico	Web	https://www.partitodemocratico.it/	privacy@partitodemocratico.it		Partito Democratico
PartitoPensionati	Web	http://www.partitopensionati.it/	segreteria@partitopensionati.it		Partito Pensionati
PartitoPirata	Web	https://www.partito-pirata.it/	hello@partito-pirata.it		Partito Pirata
PartitoSardoDAzione	Web	http://www.psdaz.net/	info@psdaz.net		Partito Sardo d'Azione
PartitoSocialistaItaliano	Web	https://www.partitosocialista.it/	info@partitosocialista.it		Partito Socialista Italiano
PartitoUnioneCattolica	Web	https://partitounionecattolica.it/	info@partitounionecattolica.it		Partito Unione Cattolica
PatriaECostituzione	Web	https://www.patriaecostituzione.it/home/	infopatriaecostituzione@gmail.com		Patria e Costituzione
PotereAlPopolo	Web	https://poterealpopolo.org/	poterealpopolo2018@gmail.com		Potere al Popolo
PPA	Web	https://www.ppa-pensieroazione.com/	ppa.partitopensieroazione@gmail.com		PPA MOVIMENTO POLITICO PENSIERO E AZIONE
R2020	Web	https://r2020.info/	info@r2020.it		R2020
ReferendumEDemocrazia	Web	https://listareferendumedemocrazia.it/	info@associazionelucacoscioni.it		Referendum e Democrazia
Rifondazione	Web	http://www.rifondazione.it/	organizzazione.prc@rifondazione.it		Partito della Rifondazione Comunista
Rinascimento	Web	https://www.rinascimentosgarbi.org/	info@rinascimentosgarbi.org		Rinascimento
SinistraItaliana	Web	https://www.sinistraitaliana.si/	organizzazione.sinistraitaliana@sxmail.it		Sinistra Italiana
SudChiamaNord	Web	https://www.sud-chiamanord.it/	privacy@sud-chiamanord.it		Sud Chiama Nord
SudtirolerVolkspartei	Web	https://www.svp.eu/	info@svp.eu		Sudtiroler Volkspartei
UnioneDiCentro	Web	https://www.udc-italia.it/	info@udc-italia.it 		Unione di Centro
UnionePopolare	Web	https://unionepopolare.blog/	firme@unionepopolare.blog		Unione Popolare
UnioneSudamericanaEmigratiItaliani	Web	https://www.usei-it.org/it/	info@usei-it.org		Unione Sudamericana Emigrati Italiani
UnionValdotaine	Web	https://www.unionvaldotaine.org/	siegecentral@unionvaldotaine.org		Union Valdôtaine
VerdeEPopolare	Web	https://www.verdeepopolare.it/	verdeepopolare@gmail.com		Verde è popolare
